su,bl,type,tr,let,num,rilet,vac,vse,rt,acc,respSE,respRT,statAC,statSE,statRT,stratac,strat,stratrt,item
1,17,3,8,1,9,10,0,0,899,1,10,0,0,1,70,1,2,1008,2
1,17,3,9,3,9,12,0,0,912,0,13,0,0,1,1531,1,2,1525,4
1,17,3,10,6,7,13,0,0,845,1,13,0,0,1,134,0,0,0,7
1,18,3,1,0,7,7,0,0,791,1,7,0,0,1,73,1,2,1133,1
1,18,3,2,8,7,15,0,0,765,1,15,0,0,1,44,1,2,755,9
1,18,3,3,9,9,18,0,0,626,1,18,0,0,1,81,0,0,0,10
1,18,3,4,6,7,13,0,0,1807,1,13,0,0,1,78,1,2,727,7
1,18,3,5,1,9,10,0,0,750,1,10,0,0,1,62,0,0,0,2
1,18,3,6,7,9,16,0,0,647,1,16,0,0,1,74,0,0,0,8
1,18,3,7,2,7,9,0,0,735,1,9,0,0,1,79,1,2,931,3
1,18,3,8,3,9,12,0,0,873,1,12,0,0,1,76,0,0,0,4
1,18,3,9,5,9,14,0,0,803,1,14,0,0,1,67,0,0,0,6
1,18,3,10,4,7,11,0,0,755,1,11,0,0,1,67,1,2,836,5
1,19,3,1,9,9,18,0,0,1149,1,18,0,0,1,56,1,2,1150,10
1,19,3,2,5,9,14,0,0,696,1,14,0,0,1,58,1,2,1316,6
1,19,3,3,7,9,16,0,0,824,1,16,0,0,1,66,1,2,838,8
1,19,3,4,6,7,13,0,0,764,1,13,0,0,1,69,0,0,0,7
1,19,3,5,4,7,11,0,0,671,1,11,0,0,1,66,0,0,0,5
1,19,3,6,8,7,15,0,0,700,1,15,0,0,1,95,0,0,0,9
1,19,3,7,1,9,10,0,0,756,1,10,0,0,1,79,1,2,854,2
1,19,3,8,2,7,9,0,0,651,1,9,0,0,1,94,0,0,0,3
1,19,3,9,3,9,12,0,0,799,1,12,0,0,1,118,1,2,869,4
1,19,3,10,0,7,7,0,0,879,1,7,0,0,1,71,0,0,0,1
1,20,3,1,3,9,12,0,0,772,1,12,0,0,1,86,0,0,0,4
1,20,3,2,1,9,10,0,0,710,1,10,0,0,1,71,0,0,0,2
1,20,3,3,8,7,15,0,0,594,1,15,0,0,1,54,1,2,1040,9
1,20,3,4,6,7,13,0,0,721,1,13,0,0,1,77,1,2,935,7
1,20,3,5,7,9,16,0,0,955,1,16,0,0,1,60,0,0,0,8
1,20,3,6,0,7,7,0,0,798,1,7,0,0,1,71,1,2,1308,1
1,20,3,7,2,7,9,0,0,615,1,9,0,0,1,76,1,2,952,3
1,20,3,8,5,9,14,0,0,873,1,14,0,0,1,63,0,0,0,6
1,20,3,9,4,7,11,0,0,679,1,11,0,0,1,71,1,2,878,5
1,20,3,10,9,9,18,0,0,750,1,18,0,0,1,77,0,0,0,10
1,21,3,1,3,9,12,0,0,870,1,12,0,0,1,50,1,2,1035,4
1,21,3,2,5,9,14,0,0,637,1,14,0,0,1,72,1,2,963,6
1,21,3,3,7,9,16,0,0,847,1,16,0,0,1,49,1,2,833,8
1,21,3,4,8,7,15,0,0,579,1,15,0,0,1,39,0,0,0,9
1,21,3,5,2,7,9,0,0,675,1,9,0,0,1,52,0,0,0,3
1,21,3,6,9,9,18,0,0,1013,1,18,0,0,1,96,1,2,837,10
1,21,3,7,0,7,7,0,0,644,1,7,0,0,1,72,0,0,0,1
1,21,3,8,4,7,11,0,0,804,1,11,0,0,1,79,0,0,0,5
1,21,3,9,6,7,13,0,0,1499,1,13,0,0,1,63,0,0,0,7
1,21,3,10,1,9,10,0,0,960,1,10,0,0,1,52,1,2,888,2
1,22,3,1,8,7,15,0,0,584,1,15,0,0,1,53,1,2,1129,9
1,22,3,2,7,9,16,0,0,597,1,16,0,0,1,59,0,0,0,8
1,22,3,3,2,7,9,0,0,659,1,9,0,0,1,69,1,2,789,3
1,22,3,4,4,7,11,0,0,544,1,11,0,0,1,69,1,2,925,5
1,22,3,5,5,9,14,0,0,677,1,14,0,0,1,58,0,0,0,6
1,22,3,6,1,9,10,0,0,554,1,10,0,0,1,42,0,0,0,2
1,22,3,7,9,9,18,0,0,1016,1,18,0,0,1,84,0,0,0,10
1,22,3,8,0,7,7,0,0,689,1,7,0,0,1,53,1,2,896,1
1,22,3,9,3,9,12,0,0,699,1,12,0,0,1,107,0,0,0,4
1,22,3,10,6,7,13,0,0,724,1,13,0,0,1,59,1,2,745,7
1,23,3,1,3,9,12,0,0,594,1,12,0,0,1,66,1,2,758,4
1,23,3,2,0,7,7,0,0,617,1,7,0,0,1,53,0,0,0,1
1,23,3,3,6,7,13,0,0,733,1,13,0,0,1,73,0,0,0,7
1,23,3,4,7,9,16,0,0,607,0,14,0,0,1,1255,1,2,991,8
1,23,3,5,9,9,18,0,0,635,1,18,0,0,1,84,1,2,1054,10
1,23,3,6,8,7,15,0,0,622,1,15,0,0,1,63,0,0,0,9
1,23,3,7,1,9,10,0,0,687,1,10,0,0,1,64,1,2,841,2
1,23,3,8,4,7,11,0,0,694,1,11,0,0,1,77,0,0,0,5
1,23,3,9,2,7,9,0,0,616,1,9,0,0,1,51,0,0,0,3
1,23,3,10,5,9,14,0,0,696,1,14,0,0,1,39,1,2,829,6
1,24,3,1,4,7,11,0,0,565,1,11,0,0,1,71,1,2,960,5
1,24,3,2,0,7,7,0,0,604,1,7,0,0,1,90,1,2,820,1
1,24,3,3,2,7,9,0,0,642,1,9,0,0,1,37,1,2,820,3
1,24,3,4,1,9,10,0,0,697,1,10,0,0,1,78,0,0,0,2
1,24,3,5,8,7,15,0,0,743,1,15,0,0,1,85,1,2,775,9
1,24,3,6,3,9,12,0,0,568,1,12,0,0,1,66,0,0,0,4
1,24,3,7,5,9,14,0,0,579,1,14,0,0,1,54,0,0,0,6
1,24,3,8,7,9,16,0,0,889,1,16,0,0,1,75,0,0,0,8
1,24,3,9,6,7,13,0,0,867,1,13,0,0,1,55,1,2,837,7
1,24,3,10,9,9,18,0,0,680,1,18,0,0,1,80,0,0,0,10
1,25,3,1,9,9,18,0,0,607,1,18,0,0,1,127,1,2,999,10
1,25,3,2,0,7,7,0,0,630,1,7,0,0,1,49,0,0,0,1
1,25,3,3,4,7,11,0,0,585,1,11,0,0,1,62,0,0,0,5
1,25,3,4,8,7,15,0,0,847,1,15,0,0,1,61,0,0,0,9
1,25,3,5,6,7,13,0,0,688,1,13,0,0,1,101,0,0,0,7
1,25,3,6,3,9,12,0,0,736,1,12,0,0,1,122,1,2,820,4
1,25,3,7,2,7,9,0,0,784,1,9,0,0,1,103,0,0,0,3
1,25,3,8,7,9,16,0,0,640,1,16,0,0,1,94,1,2,806,8
1,25,3,9,1,9,10,0,0,706,1,10,0,0,1,71,1,2,893,2
1,25,3,10,5,9,14,0,0,664,1,14,0,0,1,84,1,2,894,6
1,26,3,1,5,9,14,0,0,596,1,14,0,0,1,76,0,0,0,6
1,26,3,2,4,7,11,0,0,666,1,11,0,0,1,94,1,2,781,5
1,26,3,3,3,9,12,0,0,831,1,12,0,0,1,148,0,0,0,4
1,26,3,4,8,7,15,0,0,653,1,15,0,0,1,68,1,2,1005,9
1,26,3,5,6,7,13,0,0,654,1,13,0,0,1,122,1,2,869,7
1,26,3,6,7,9,16,0,0,1099,1,16,0,0,1,80,0,0,0,8
1,26,3,7,9,9,18,0,0,722,1,18,0,0,1,52,0,0,0,10
1,26,3,8,2,7,9,0,0,864,1,9,0,0,1,69,1,2,1136,3
1,26,3,9,0,7,7,0,0,766,1,7,0,0,1,61,1,2,976,1
1,26,3,10,1,9,10,0,0,643,1,10,0,0,1,70,0,0,0,2
1,27,3,1,6,7,13,0,0,1859,1,13,0,0,1,140,0,0,0,7
1,27,3,2,9,9,18,0,0,649,1,18,0,0,1,140,1,2,853,10
1,27,3,3,8,7,15,0,0,596,1,15,0,0,1,104,0,0,0,9
1,27,3,4,0,7,7,0,0,668,1,7,0,0,1,86,0,0,0,1
1,27,3,5,4,7,11,0,0,585,1,11,0,0,1,60,0,0,0,5
1,27,3,6,1,9,10,0,0,578,1,10,0,0,1,66,1,2,893,2
1,27,3,7,3,9,12,0,0,736,1,12,0,0,1,85,1,2,868,4
1,27,3,8,2,7,9,0,0,595,1,9,0,0,1,86,0,0,0,3
1,27,3,9,7,9,16,0,0,593,1,16,0,0,1,90,1,2,991,8
1,27,3,10,5,9,14,0,0,702,1,14,0,0,1,62,1,2,899,6
1,28,3,1,2,7,9,0,0,720,1,9,0,0,1,97,1,2,775,3
1,28,3,2,4,7,11,0,0,561,1,11,0,0,1,81,1,2,720,5
1,28,3,3,8,7,15,0,0,605,1,15,0,0,1,49,1,2,728,9
1,28,3,4,3,9,12,0,0,619,1,12,0,0,1,48,0,0,0,4
1,28,3,5,1,9,10,0,0,641,1,10,0,0,1,66,0,0,0,2
1,28,3,6,0,7,7,0,0,828,1,7,0,0,1,78,1,2,723,1
1,28,3,7,6,7,13,0,0,647,1,13,0,0,1,131,1,2,653,7
1,28,3,8,5,9,14,0,0,706,1,14,0,0,1,74,0,0,0,6
1,28,3,9,7,9,16,0,0,581,1,16,0,0,1,73,0,0,0,8
1,28,3,10,9,9,18,0,0,610,1,18,0,0,1,91,0,0,0,10
1,29,3,1,3,9,12,0,0,660,0,13,0,0,1,94,1,2,1188,4
1,29,3,2,1,9,10,0,0,614,1,10,0,0,1,94,1,2,1077,2
1,29,3,3,9,9,18,0,0,614,1,18,0,0,1,108,1,2,723,10
1,29,3,4,4,7,11,0,0,623,1,11,0,0,1,108,0,0,0,5
1,29,3,5,0,7,7,0,0,619,1,7,0,0,1,125,0,0,0,1
1,29,3,6,2,7,9,0,0,652,1,9,0,0,1,141,0,0,0,3
1,29,3,7,6,7,13,0,0,782,1,13,0,0,1,133,0,0,0,7
1,29,3,8,7,9,16,0,0,1304,1,16,0,0,1,116,1,2,892,8
1,29,3,9,8,7,15,0,0,661,1,15,0,0,1,102,0,0,0,9
1,29,3,10,5,9,14,0,0,602,1,14,0,0,1,109,1,2,798,6
1,30,3,1,8,7,15,0,0,725,1,15,0,0,1,115,1,2,1092,9
1,30,3,2,0,7,7,0,0,625,1,7,0,0,1,137,1,2,1199,1
1,30,3,3,3,9,12,0,0,696,1,12,0,0,1,121,0,0,0,4
1,30,3,4,5,9,14,0,0,625,1,14,0,0,1,78,0,0,0,6
1,30,3,5,1,9,10,0,0,904,1,10,0,0,1,116,0,0,0,2
1,30,3,6,4,7,11,0,0,659,1,11,0,0,1,86,1,2,892,5
1,30,3,7,6,7,13,0,0,652,1,13,0,0,1,155,1,2,710,7
1,30,3,8,2,7,9,0,0,888,1,9,0,0,1,109,1,2,740,3
1,30,3,9,7,9,16,0,0,753,1,16,0,0,1,108,0,0,0,8
1,30,3,10,9,9,18,0,0,584,1,18,0,0,1,100,0,0,0,10
1,31,3,1,5,9,14,0,0,715,1,14,0,0,1,112,1,2,1097,6
1,31,3,2,4,7,11,0,0,693,1,11,0,0,1,74,0,0,0,5
1,31,3,3,9,9,18,0,0,559,1,18,0,0,1,59,1,2,891,10
1,31,3,4,3,9,12,0,0,649,1,12,0,0,1,113,1,2,739,4
1,31,3,5,7,9,16,0,0,586,1,16,0,0,1,82,1,2,756,8
1,31,3,6,0,7,7,0,0,604,1,7,0,0,1,85,0,0,0,1
1,31,3,7,2,7,9,0,0,650,1,9,0,0,1,77,0,0,0,3
1,31,3,8,6,7,13,0,0,639,1,13,0,0,1,36,0,0,0,7
1,31,3,9,1,9,10,0,0,661,1,10,0,0,1,86,1,2,927,2
1,31,3,10,8,7,15,0,0,670,1,15,0,0,1,68,0,0,0,9
1,32,3,1,7,9,16,0,0,627,1,16,0,0,1,47,0,0,0,8
1,32,3,2,8,7,15,0,0,531,1,15,0,0,1,80,1,2,842,9
1,32,3,3,6,7,13,0,0,591,1,13,0,0,1,84,1,2,767,7
1,32,3,4,5,9,14,0,0,604,1,14,0,0,1,48,0,0,0,6
1,32,3,5,3,9,12,0,0,593,1,12,0,0,1,78,0,0,0,4
1,32,3,6,0,7,7,0,0,665,1,7,0,0,1,91,1,2,917,1
1,32,3,7,2,7,9,0,0,640,1,9,0,0,1,74,1,2,872,3
1,32,3,8,1,9,10,0,0,657,1,10,0,0,1,113,0,0,0,2
1,32,3,9,4,7,11,0,0,601,1,11,0,0,1,73,1,2,995,5
1,32,3,10,9,9,18,0,0,618,1,18,0,0,1,88,0,0,0,10
1,33,3,1,4,7,11,0,0,553,1,11,0,0,1,59,0,0,0,5
1,33,3,2,9,9,18,0,0,533,1,18,0,0,1,69,1,2,1217,10
1,33,3,3,3,9,12,0,0,538,1,12,0,0,1,64,1,2,855,4
1,33,3,4,6,7,13,0,0,595,1,13,0,0,1,53,0,0,0,7
1,33,3,5,1,9,10,0,0,545,1,10,0,0,1,77,1,2,1066,2
1,33,3,6,5,9,14,0,0,549,1,14,0,0,1,96,1,2,832,6
1,33,3,7,0,7,7,0,0,632,1,7,0,0,1,78,0,0,0,1
1,33,3,8,2,7,9,0,0,904,1,9,0,0,1,87,0,0,0,3
1,33,3,9,7,9,16,0,0,876,1,16,0,0,1,94,1,2,931,8
1,33,3,10,8,7,15,0,0,642,1,15,0,0,1,69,0,0,0,9
1,34,3,1,7,9,16,0,0,677,1,16,0,0,1,89,0,0,0,8
1,34,3,2,4,7,11,0,0,684,1,11,0,0,1,62,1,2,759,5
1,34,3,3,0,7,7,0,0,585,1,7,0,0,1,71,1,2,736,1
1,34,3,4,3,9,12,0,0,1311,1,12,0,0,1,62,0,0,0,4
1,34,3,5,2,7,9,0,0,1272,1,9,0,0,1,68,1,2,1097,3
1,34,3,6,5,9,14,0,0,943,1,14,0,0,1,84,0,0,0,6
1,34,3,7,1,9,10,0,0,1122,0,12,0,0,1,132,0,0,0,2
